Zone;Sub Zone;Category;Date;Count;Location
Canada;Alberta;Confirmed;2020-03-18;97;53.9333,-116.5765
Canada;Alberta;Confirmed;2020-07-17;9219;53.9333,-116.5765
Canada;Alberta;Confirmed;2020-03-19;119;53.9333,-116.5765
Canada;Alberta;Confirmed;2020-02-17;0;53.9333,-116.5765
Canada;Alberta;Confirmed;2020-04-28;4850;53.9333,-116.5765
Canada;Alberta;Confirmed;2020-04-24;4017;53.9333,-116.5765
Canada;Alberta;Confirmed;2020-01-24;0;53.9333,-116.5765
Canada;British Columbia;Confirmed;2020-08-17;4358;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-10-08;10066;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-07-22;3328;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-05-02;2171;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-10-02;9381;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-10-21;12057;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-06-01;2597;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-03-05;13;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-08-09;3934;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-09-09;6591;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-08-11;4111;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-12-02;34728;53.7267,-127.6476
Canada;British Columbia;Confirmed;2020-09-25;8641;53.7267,-127.6476
Canada;Diamond Princess;Confirmed;2020-07-20;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-11-04;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-09-10;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-11-11;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-02-13;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-10-27;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-04-10;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-07-07;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-09-16;0;0.0,0.0
Canada;Diamond Princess;Confirmed;2020-07-14;0;0.0,0.0
Canada;Grand Princess;Confirmed;2020-05-25;13;0.0,0.0
Canada;Grand Princess;Confirmed;2020-10-28;13;0.0,0.0
Canada;Grand Princess;Confirmed;2020-08-28;13;0.0,0.0
Canada;Grand Princess;Confirmed;2020-06-15;13;0.0,0.0
Canada;Grand Princess;Confirmed;2020-07-09;13;0.0,0.0
Canada;Grand Princess;Confirmed;2020-04-07;13;0.0,0.0
Canada;Grand Princess;Confirmed;2020-04-06;13;0.0,0.0
Canada;Grand Princess;Confirmed;2020-04-14;13;0.0,0.0
Canada;Manitoba;Confirmed;2020-07-24;384;53.7609,-98.8139
Canada;Manitoba;Confirmed;2020-04-19;254;53.7609,-98.8139
Canada;Manitoba;Confirmed;2020-07-30;409;53.7609,-98.8139
Canada;Manitoba;Confirmed;2020-11-28;16118;53.7609,-98.8139
Canada;New Brunswick;Confirmed;2020-10-16;297;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-07-29;170;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-06-12;154;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-03-29;66;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-03-17;8;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-10-10;258;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-07-18;168;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-04-02;91;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-05-29;128;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-11-28;481;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-10-06;205;46.5653,-66.4619
Canada;New Brunswick;Confirmed;2020-08-24;189;46.5653,-66.4619
Canada;Newfoundland and Labrador;Confirmed;2020-04-15;247;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-07-19;262;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-02-12;0;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-10-09;279;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-06-20;261;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-11-10;297;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-07-26;266;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-02-01;0;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-08-11;268;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-04-24;256;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-09-26;272;53.1355,-57.6604
Canada;Newfoundland and Labrador;Confirmed;2020-05-06;259;53.1355,-57.6604
